time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,train/loss
1145,6835,100.0,7830400,0.05,0.4,78304,0.0001,1945099,0.0011206800118088722
1145,6835,100.0,7830800,0.05,0.38,78308,0.0001,1945199,4.8916746891336516e-05
1145,6836,100.0,7831200,0.05,0.4,78312,0.0001,1945299,0.0012335297651588917
1145,6836,100.0,7831600,0.05,0.41,78316,0.0001,1945399,0.00023873589816503227
1145,6836,100.0,7832000,0.05,0.44,78320,0.0001,1945499,0.0010892357677221298
1145,6837,100.0,7832400,0.05,0.42,78324,0.0001,1945599,0.0002962530415970832
1145,6837,100.0,7832800,0.05,0.42,78328,0.0001,1945699,3.167495742673054e-05
1145,6837,100.0,7833200,0.05,0.43,78332,0.0001,1945799,0.000977476011030376
1145,6838,100.0,7833600,0.05,0.43,78336,0.0001,1945899,6.624993693549186e-05
1145,6838,100.0,7834000,0.05,0.44,78340,0.0001,1945999,0.0003360047994647175
1145,6839,100.0,7834400,0.05,0.45,78344,0.0001,1946099,0.0025602015666663647
1145,6839,100.0,7834800,0.05,0.44,78348,0.0001,1946199,0.001154628349468112
1145,6839,100.0,7835200,0.05,0.42,78352,0.0001,1946299,0.0011602999875321984
1145,6840,100.0,7835600,0.05,0.42,78356,0.0001,1946399,5.4125997849041596e-05
1145,6840,100.0,7836000,0.05,0.42,78360,0.0001,1946499,0.0010718810372054577
1145,6840,100.0,7836400,0.05,0.44,78364,0.0001,1946599,0.000324171909596771
1145,6841,100.0,7836800,0.05,0.44,78368,0.0001,1946699,0.0011279413010925055
1145,6841,100.0,7837200,0.05,0.44,78372,0.0001,1946799,0.00012478047574404627
1145,6841,100.0,7837600,0.05,0.41,78376,0.0001,1946899,0.002161369426175952
1145,6842,100.0,7838000,0.05,0.42,78380,0.0001,1946999,0.0011188340140506625
1145,6842,100.0,7838400,0.05,0.42,78384,0.0001,1947099,0.00047295645345002413
1145,6843,100.0,7838800,0.05,0.45,78388,0.0001,1947199,0.000124279351439327
1145,6843,100.0,7839200,0.05,0.46,78392,0.0001,1947299,7.385553180938587e-05
1145,6843,100.0,7839600,0.05,0.49,78396,0.0001,1947399,0.0011637359857559204
1145,6844,100.0,7840000,0.05,0.48,78400,0.0001,1947499,0.0010799578158184886
1145,6844,100.0,7840400,0.05,0.48,78404,0.0001,1947599,0.00028088680119253695
1145,6844,100.0,7840800,0.05,0.49,78408,0.0001,1947699,0.00012402076390571892
1145,6845,100.0,7841200,0.05,0.46,78412,0.0001,1947799,0.00035398651380091906
1145,6845,100.0,7841600,0.05,0.46,78416,0.0001,1947899,0.0003263323160354048
1145,6845,100.0,7842000,0.05,0.45,78420,0.0001,1947999,4.507945413934067e-05
1145,6846,100.0,7842400,0.05,0.47,78424,0.0001,1948099,0.0011258745798841119
1145,6846,100.0,7842800,0.05,0.48,78428,0.0001,1948199,0.00024173852580133826
1145,6847,100.0,7843200,0.05,0.49,78432,0.0001,1948299,0.0012609991244971752
1145,6847,100.0,7843600,0.05,0.48,78436,0.0001,1948399,0.0012325347634032369
1145,6847,100.0,7844000,0.05,0.47,78440,0.0001,1948499,0.0004725491162389517
1145,6848,100.0,7844400,0.05,0.46,78444,0.0001,1948599,0.00012224918464198709
1145,6848,100.0,7844800,0.05,0.48,78448,0.0001,1948699,9.982986375689507e-05
